ENSGid	gene_name
ENSG00000235664.1	AC005682.8
ENSG00000176903.3	PNMA1
ENSG00000234353.2	AP000347.4
ENSG00000253177.1	RP11-100L22.1
ENSG00000233609.3	RP11-62H7.2
ENSG00000007376.3	RPUSD1
ENSG00000111596.7	CNOT2
ENSG00000107099.11	DOCK8
ENSG00000272195.1	RP11-156E8.1
ENSG00000162520.10	SYNC
ENSG00000103876.7	FAH
ENSG00000041802.6	LSG1
ENSG00000250334.1	LINC00989
ENSG00000123411.10	IKZF4
ENSG00000197728.5	RPS26
ENSG00000151470.8	C4orf33
ENSG00000165661.11	QSOX2
ENSG00000166763.7	STRCP1
ENSG00000119900.7	OGFRL1
ENSG00000099917.13	MED15
ENSG00000171056.6	SOX7
ENSG00000256323.1	AL049542.1
ENSG00000101198.10	NKAIN4
ENSG00000230606.6	AC159540.1
ENSG00000180011.6	ZADH2
ENSG00000198168.4	SVIP
ENSG00000121350.11	PYROXD1
ENSG00000140262.13	TCF12
ENSG00000164830.13	OXR1
ENSG00000205078.5	SYCE1L
ENSG00000189423.7	USP32P3
ENSG00000168229.3	PTGDR
ENSG00000262583.1	RP11-77K12.5
ENSG00000152061.17	RABGAP1L
ENSG00000125755.14	SYMPK
ENSG00000231130.1	HLA-T
ENSG00000112701.13	SENP6
ENSG00000104804.3	TULP2
ENSG00000119661.10	DNAL1
ENSG00000147789.11	ZNF7
ENSG00000228412.2	RP4-625H18.2
ENSG00000228106.1	RP11-452F19.3
ENSG00000127947.11	PTPN12
ENSG00000184743.8	ATL3
ENSG00000078579.8	FGF20
ENSG00000039537.9	C6
ENSG00000170209.4	ANKK1
ENSG00000243244.1	STON1
ENSG00000107669.13	ATE1
ENSG00000204252.8	HLA-DOA
ENSG00000215158.5	RP11-1023L17.1
ENSG00000176986.10	SEC24C
ENSG00000197860.5	SGTB
ENSG00000242600.2	MBL1P
ENSG00000166167.13	BTRC
ENSG00000124249.5	KCNK15
ENSG00000186889.5	TMEM17
ENSG00000167491.13	GATAD2A
ENSG00000036054.8	TBC1D23
ENSG00000043462.7	LCP2
ENSG00000103351.8	CLUAP1
ENSG00000271680.1	RP11-564A8.8
ENSG00000173917.9	HOXB2
ENSG00000137561.4	TTPA
ENSG00000177764.6	ZCCHC3
ENSG00000236908.2	RP5-1063M23.2
ENSG00000155530.2	LRGUK
ENSG00000271780.1	RP11-1017G21.5
ENSG00000023191.12	RNH1
ENSG00000084090.9	STARD7
ENSG00000253203.2	GUSBP3
ENSG00000213676.6	ATF6B
ENSG00000100393.9	EP300
ENSG00000013573.12	DDX11
ENSG00000242612.2	DECR2
ENSG00000226172.2	RP4-712E4.1
ENSG00000239736.2	CEACAMP3
ENSG00000244754.4	N4BP2L2
ENSG00000242282.2	AC108488.4
ENSG00000213024.6	NUP62
ENSG00000005102.8	MEOX1
ENSG00000175806.10	MSRA
ENSG00000120805.9	ARL1
ENSG00000092020.6	PPP2R3C
ENSG00000272777.1	RP11-571L19.8
ENSG00000198502.5	HLA-DRB5
ENSG00000075826.12	SEC31B
ENSG00000231443.2	AC024937.6
ENSG00000139220.12	PPFIA2
ENSG00000103196.7	CRISPLD2
ENSG00000196586.9	MYO6
ENSG00000140993.6	TIGD7
ENSG00000175634.10	RPS6KB2
ENSG00000225766.4	RP11-468E2.9
ENSG00000204305.9	AGER
ENSG00000174775.12	HRAS
ENSG00000168427.7	KLHL30
ENSG00000268912.1	CTD-2619J13.17
ENSG00000188596.5	C12orf55
ENSG00000117013.10	KCNQ4
ENSG00000197363.5	ZNF517
ENSG00000070087.9	PFN2
ENSG00000224183.1	SDHDP6
ENSG00000188662.5	HILS1
ENSG00000161395.8	PGAP3
ENSG00000084073.4	ZMPSTE24
ENSG00000090104.7	RGS1
ENSG00000139636.11	LMBR1L
ENSG00000131591.13	C1orf159
ENSG00000253958.1	CLDN23
ENSG00000122557.5	HERPUD2
ENSG00000250486.2	FAM218A
ENSG00000133704.5	IPO8
ENSG00000183793.9	NPIPA5
ENSG00000188383.7	AC018892.9
ENSG00000133687.11	TMTC1
ENSG00000085063.10	CD59
ENSG00000138495.2	COX17
ENSG00000161981.6	SNRNP25
ENSG00000166206.9	GABRB3
ENSG00000117602.7	RCAN3
ENSG00000173145.7	NOC3L
ENSG00000197498.8	RPF2
ENSG00000099904.11	ZDHHC8
ENSG00000163320.6	CGGBP1
ENSG00000115944.10	COX7A2L
ENSG00000270081.1	RP5-935K16.1
ENSG00000159164.5	SV2A
ENSG00000196381.6	ZNF781
ENSG00000166452.7	AKIP1
ENSG00000185485.10	SDHAP1
ENSG00000136279.14	DBNL
ENSG00000231702.2	RP11-54O7.10
ENSG00000007129.13	CEACAM21
ENSG00000118785.9	SPP1
ENSG00000118526.6	TCF21
ENSG00000198860.7	TSEN15
ENSG00000144035.3	NAT8
ENSG00000164609.5	SLU7
ENSG00000175764.10	TTLL11
ENSG00000143702.11	CEP170
ENSG00000144407.5	PTH2R
ENSG00000119865.4	CNRIP1
ENSG00000112139.10	MDGA1
ENSG00000235574.1	AC073150.6
ENSG00000184470.15	TXNRD2
ENSG00000270804.1	CTD-2583A14.11
ENSG00000117523.11	PRRC2C
ENSG00000185100.6	ADSSL1
ENSG00000170571.7	EMB
ENSG00000197980.7	LEKR1
ENSG00000171840.7	NINJ2
ENSG00000145685.9	LHFPL2
ENSG00000183060.11	LYSMD4
ENSG00000127463.9	EMC1
ENSG00000183935.3	HTR7P1
ENSG00000205021.9	CCL3L1
ENSG00000250770.2	RP5-1063M23.1
ENSG00000161618.5	ALDH16A1
ENSG00000181315.6	ZNF322
ENSG00000204338.4	CYP21A1P
ENSG00000063176.11	SPHK2
ENSG00000167525.9	PROCA1
ENSG00000137364.4	TPMT
ENSG00000140265.8	ZSCAN29
ENSG00000187105.4	HEATR4
ENSG00000197622.8	CDC42SE1
ENSG00000272221.1	XXbac-BPG181B23.7
ENSG00000174109.3	C16orf91
ENSG00000174891.8	RSRC1
ENSG00000261390.1	RP11-345M22.2
ENSG00000221944.3	TIGD1
ENSG00000164404.4	GDF9
ENSG00000273488.1	RP11-114I8.4
ENSG00000116906.7	GNPAT
ENSG00000170606.9	HSPA4
ENSG00000042753.7	AP2S1
ENSG00000167778.4	SPRYD3
ENSG00000184363.5	PKP3
ENSG00000116701.10	NCF2
ENSG00000108604.11	SMARCD2
ENSG00000114744.4	COMMD2
ENSG00000090686.11	USP48
ENSG00000272849.1	RP11-347I19.8
ENSG00000125821.7	DTD1
ENSG00000214578.4	HMGN2P15
ENSG00000138381.5	ASNSD1
ENSG00000089327.10	FXYD5
ENSG00000109929.5	SC5D
ENSG00000078124.7	ACER3
ENSG00000204397.3	CARD16
ENSG00000198169.4	ZNF251
ENSG00000001460.13	STPG1
ENSG00000166479.5	TMX3
ENSG00000172006.7	ZNF554
ENSG00000255423.1	EBLN2
ENSG00000172932.10	ANKRD13D
ENSG00000189298.9	ZKSCAN3
ENSG00000115523.12	GNLY
ENSG00000106638.11	TBL2
ENSG00000105656.8	ELL
ENSG00000235963.1	MCCD1P1
ENSG00000152583.8	SPARCL1
ENSG00000072864.8	NDE1
ENSG00000113600.6	C9
ENSG00000074695.5	LMAN1
ENSG00000183527.7	PSMG1
ENSG00000004777.14	ARHGAP33
ENSG00000227533.1	SLC2A1-AS1
ENSG00000256019.1	TAS2R63P
ENSG00000168653.6	NDUFS5
ENSG00000168803.10	ADAL
ENSG00000176635.13	HORMAD2
ENSG00000166924.4	NYAP1
ENSG00000138744.10	NAAA
ENSG00000176273.10	SLC35G1
ENSG00000233121.1	VN1R20P
ENSG00000138448.7	ITGAV
ENSG00000128699.9	ORMDL1
ENSG00000235225.1	AC016712.2
ENSG00000188732.6	FAM221A
ENSG00000144677.10	CTDSPL
ENSG00000137764.15	MAP2K5
ENSG00000260388.1	LINC00562
ENSG00000136197.8	C7orf25
ENSG00000147459.13	DOCK5
ENSG00000181619.11	GPR135
ENSG00000107798.13	LIPA
ENSG00000167363.9	FN3K
ENSG00000165802.15	NSMF
ENSG00000185022.7	MAFF
ENSG00000184508.6	HDDC3
ENSG00000169715.10	MT1E
ENSG00000136928.4	GABBR2
ENSG00000163393.8	SLC22A15
ENSG00000065057.3	NTHL1
ENSG00000196912.8	ANKRD36B
ENSG00000060642.6	PIGV
ENSG00000196793.9	ZNF239
ENSG00000246548.3	RP11-7F17.5
ENSG00000151208.12	DLG5
ENSG00000177191.2	B3GNT8
ENSG00000157796.13	WDR19
ENSG00000100983.5	GSS
ENSG00000259539.1	CTD-2651B20.1
ENSG00000105376.4	ICAM5
ENSG00000108384.10	RAD51C
ENSG00000136573.8	BLK
ENSG00000165646.7	SLC18A2
ENSG00000235833.1	AC159540.14
ENSG00000173480.6	ZNF417
ENSG00000198589.6	LRBA
ENSG00000105556.6	MIER2
ENSG00000237417.1	XRCC6P1
ENSG00000116698.16	SMG7
ENSG00000260006.1	RP11-469M7.1
ENSG00000267648.1	RP11-686D22.3
ENSG00000108292.12	MLLT6
ENSG00000215154.2	AC141586.5
ENSG00000196284.9	SUPT3H
ENSG00000153044.5	CENPH
ENSG00000232075.1	MRPL35P2
ENSG00000156113.16	KCNMA1
ENSG00000119632.3	IFI27L2
ENSG00000139187.5	KLRG1
ENSG00000168575.5	SLC20A2
ENSG00000181016.5	LSMEM1
ENSG00000013810.14	TACC3
ENSG00000183092.11	BEGAIN
ENSG00000184232.4	OAF
ENSG00000047457.9	CP
ENSG00000249740.1	CTD-2127H9.1
ENSG00000135655.9	USP15
ENSG00000267737.1	AC061992.2
ENSG00000214106.3	PAXIP1-AS2
ENSG00000271947.1	RP11-439M11.1
ENSG00000109654.10	TRIM2
ENSG00000177627.5	C12orf54
ENSG00000270210.1	RP11-373D23.3
ENSG00000033050.3	ABCF2
ENSG00000113971.14	NPHP3
ENSG00000079841.14	RIMS1
ENSG00000250067.7	YJEFN3
ENSG00000273142.1	RP11-458F8.4
ENSG00000102890.10	ELMO3
ENSG00000239697.6	TNFSF12
ENSG00000167920.4	TMEM99
ENSG00000152749.7	GPR180
ENSG00000123143.8	PKN1
ENSG00000065559.10	MAP2K4
ENSG00000101577.5	LPIN2
ENSG00000176641.6	RNF152
ENSG00000157103.6	SLC6A1
ENSG00000137411.12	VARS2
ENSG00000012983.7	MAP4K5
ENSG00000249780.1	RP11-352E6.2
ENSG00000230069.3	LRRC37A15P
ENSG00000011590.9	ZBTB32
ENSG00000115317.7	HTRA2
ENSG00000135486.13	HNRNPA1
ENSG00000164978.13	NUDT2
ENSG00000170615.10	SLC26A5
ENSG00000236104.2	ZBTB22
ENSG00000085231.9	TAF9
ENSG00000183762.8	KREMEN1
ENSG00000247157.2	RP11-434C1.1
ENSG00000105875.9	WDR91
ENSG00000121310.12	ECHDC2
ENSG00000161664.2	ASB16
ENSG00000101150.13	TPD52L2
ENSG00000273290.1	CTC-297N7.8
ENSG00000237176.3	RP11-813P10.2
ENSG00000148572.10	NRBF2
ENSG00000103549.17	RNF40
ENSG00000134202.6	GSTM3
ENSG00000161955.12	TNFSF13
ENSG00000196236.8	XPNPEP3
ENSG00000154719.9	MRPL39
ENSG00000119599.12	DCAF4
ENSG00000146904.4	EPHA1
ENSG00000230183.3	CNOT6LP1
ENSG00000166946.9	CCNDBP1
ENSG00000244301.1	AOX3P
ENSG00000260257.1	RP5-1085F17.3
ENSG00000106610.10	STAG3L4
ENSG00000203685.5	C1orf95
ENSG00000106477.14	CEP41
ENSG00000132259.8	CNGA4
ENSG00000175471.15	MCTP1
ENSG00000149380.7	P4HA3
ENSG00000164889.8	SLC4A2
ENSG00000150627.11	WDR17
ENSG00000172594.8	SMPDL3A
ENSG00000272447.1	RP11-182L21.6
ENSG00000042317.12	SPATA7
ENSG00000150656.10	CNDP1
ENSG00000198673.6	FAM19A2
ENSG00000108468.10	CBX1
ENSG00000187688.10	TRPV2
ENSG00000271109.1	CTC-523E23.11
ENSG00000119969.10	HELLS
ENSG00000080815.14	PSEN1
ENSG00000169919.12	GUSB
ENSG00000244371.2	PFN1P8
ENSG00000196950.9	SLC39A10
ENSG00000204348.5	DXO
ENSG00000163145.8	C1QTNF7
ENSG00000188747.4	NOXA1
ENSG00000148225.11	WDR31
ENSG00000273209.1	RP11-107N15.1
ENSG00000184613.6	NELL2
