ENSGid	gene_name
ENSG00000145715.10	RASA1
ENSG00000091428.13	RAPGEF4
ENSG00000154511.7	FAM69A
ENSG00000237276.4	ANO7P1
ENSG00000108474.12	PIGL
ENSG00000127955.11	GNAI1
ENSG00000128408.7	RIBC2
ENSG00000004799.7	PDK4
ENSG00000204577.7	LILRB3
ENSG00000106305.5	AIMP2
ENSG00000259675.1	RP11-507B12.1
ENSG00000179632.5	MAF1
ENSG00000154654.10	NCAM2
ENSG00000226261.1	AC064836.3
ENSG00000100109.12	TFIP11
ENSG00000166510.9	CCDC68
ENSG00000187266.9	EPOR
ENSG00000255147.1	RP11-655M14.4
ENSG00000105963.9	ADAP1
ENSG00000270325.1	CTC-559E9.12
ENSG00000184674.8	GSTT1
ENSG00000128578.5	STRIP2
ENSG00000101278.6	RPS10L
ENSG00000267405.1	CTC-296K1.4
ENSG00000175390.8	EIF3F
ENSG00000224982.2	TMEM233
ENSG00000064703.7	DDX20
ENSG00000198315.6	ZKSCAN8
ENSG00000169220.13	RGS14
ENSG00000152465.13	NMT2
ENSG00000128607.9	KLHDC10
ENSG00000120370.8	GORAB
ENSG00000196301.3	HLA-DRB9
ENSG00000249258.2	RP11-468H14.2
ENSG00000167653.4	PSCA
ENSG00000132793.7	LPIN3
ENSG00000129048.6	ACKR4
ENSG00000204128.5	C2orf72
ENSG00000140263.9	SORD
ENSG00000251417.1	RP11-1348G14.4
ENSG00000083828.11	ZNF586
ENSG00000142166.8	IFNAR1
ENSG00000162600.7	OMA1
ENSG00000043514.11	TRIT1
ENSG00000144331.14	ZNF385B
ENSG00000108395.9	TRIM37
ENSG00000069998.8	CECR5
ENSG00000162998.4	FRZB
ENSG00000259347.1	RP11-798K3.2
ENSG00000187762.5	RP11-527B17.2
ENSG00000101144.8	BMP7
ENSG00000185697.12	MYBL1
ENSG00000186448.10	ZNF197
ENSG00000127837.5	AAMP
ENSG00000053900.6	ANAPC4
ENSG00000186952.10	TMEM232
ENSG00000182149.16	IST1
ENSG00000185864.12	NPIPB4
ENSG00000115041.8	KCNIP3
ENSG00000196781.9	TLE1
ENSG00000168958.15	MFF
ENSG00000272279.1	RP11-157J24.2
ENSG00000100294.8	MCAT
ENSG00000203705.6	TATDN3
ENSG00000142046.10	TMEM91
ENSG00000005955.8	GGNBP2
ENSG00000258171.1	RP11-511B23.3
ENSG00000259863.1	SH3RF3-AS1
ENSG00000259894.1	RP11-697E2.4
ENSG00000130684.9	ZNF337
ENSG00000233967.2	RP11-250B2.3
ENSG00000239912.1	RPL39P36
ENSG00000144320.9	KIAA1715
ENSG00000138801.4	PAPSS1
ENSG00000244050.2	RP11-266K4.1
ENSG00000162630.5	B3GALT2
ENSG00000123427.11	METTL21B
ENSG00000259982.1	CDC37P1
ENSG00000171763.13	SPATA5L1
ENSG00000188599.13	NPIPP1
ENSG00000243319.3	FGF14-IT1
ENSG00000177565.11	TBL1XR1
ENSG00000113240.8	CLK4
ENSG00000254285.2	KRT8P3
ENSG00000044459.10	CNTLN
ENSG00000241549.4	GUSBP2
ENSG00000243725.2	TTC4
ENSG00000170379.15	FAM115C
ENSG00000159110.15	IFNAR2
ENSG00000053524.7	MCF2L2
ENSG00000224132.2	AC112715.2
ENSG00000254781.1	GVINP2
ENSG00000125845.6	BMP2
ENSG00000268423.1	AC011551.3
ENSG00000165028.7	NIPSNAP3B
ENSG00000125503.8	PPP1R12C
ENSG00000235944.3	ZNF815P
ENSG00000108107.8	RPL28
ENSG00000163682.11	RPL9
ENSG00000124019.9	FAM124B
ENSG00000116667.8	C1orf21
ENSG00000112787.8	FBRSL1
ENSG00000157450.11	RNF111
ENSG00000157833.8	GAREML
ENSG00000232987.1	AC051649.6
ENSG00000168672.3	FAM84B
ENSG00000241484.5	ARHGAP8
ENSG00000251429.1	RP11-597D13.7
ENSG00000072134.11	EPN2
ENSG00000119383.15	PPP2R4
ENSG00000138767.8	CNOT6L
ENSG00000133816.9	MICAL2
ENSG00000204176.9	SYT15
ENSG00000085719.7	CPNE3
ENSG00000171298.8	GAA
ENSG00000174586.6	ZNF497
ENSG00000113441.11	LNPEP
ENSG00000234231.2	AC093616.4
ENSG00000137310.7	TCF19
ENSG00000189042.9	ZNF567
ENSG00000173214.5	KIAA1919
ENSG00000109787.8	KLF3
ENSG00000112977.11	DAP
ENSG00000137409.14	MTCH1
ENSG00000077454.11	LRCH4
ENSG00000206053.8	HN1L
ENSG00000100299.13	ARSA
ENSG00000065328.12	MCM10
ENSG00000250878.3	METTL21EP
ENSG00000221829.5	FANCG
ENSG00000214174.4	AMZ2P1
ENSG00000115840.9	SLC25A12
ENSG00000092200.8	RPGRIP1
ENSG00000259673.1	IQCH-AS1
ENSG00000088538.12	DOCK3
ENSG00000197747.4	S100A10
ENSG00000140527.10	WDR93
ENSG00000247373.2	RP11-486O12.2
ENSG00000173376.9	NDNF
ENSG00000150687.7	PRSS23
ENSG00000125851.5	PCSK2
ENSG00000100347.10	SAMM50
ENSG00000074201.4	CLNS1A
ENSG00000016864.12	GLT8D1
ENSG00000225968.4	ELFN1
ENSG00000148331.7	ASB6
ENSG00000140990.10	NDUFB10
ENSG00000154803.8	FLCN
ENSG00000143776.14	CDC42BPA
ENSG00000119782.9	FKBP1B
ENSG00000166527.3	CLEC4D
ENSG00000174684.6	B3GNT1
ENSG00000214439.3	FAM185BP
ENSG00000105352.6	CEACAM4
ENSG00000141404.11	GNAL
ENSG00000169087.6	HSPBAP1
ENSG00000118322.8	ATP10B
ENSG00000270777.1	RP11-103J8.2
ENSG00000107854.5	TNKS2
ENSG00000226453.1	RP11-379B8.1
ENSG00000101624.6	CEP76
ENSG00000107742.8	SPOCK2
ENSG00000259056.1	DUXAP1
ENSG00000186453.8	FAM228A
ENSG00000123843.8	C4BPB
ENSG00000179862.5	CITED4
ENSG00000047579.15	DTNBP1
ENSG00000002587.5	HS3ST1
ENSG00000160593.13	AMICA1
ENSG00000150712.6	MTMR12
ENSG00000131944.5	C19orf40
ENSG00000057757.5	PITHD1
ENSG00000181026.13	AEN
ENSG00000119614.2	VSX2
ENSG00000151365.2	THRSP
ENSG00000142733.10	MAP3K6
ENSG00000270773.1	RP13-685P2.7
ENSG00000034971.10	MYOC
ENSG00000251615.3	RP11-774O3.3
ENSG00000122591.7	FAM126A
ENSG00000126231.9	PROZ
ENSG00000140443.9	IGF1R
ENSG00000149516.9	MS4A3
ENSG00000149646.8	CNBD2
ENSG00000175582.15	RAB6A
ENSG00000165124.13	SVEP1
ENSG00000113282.9	CLINT1
ENSG00000238105.3	GOLGA2B
ENSG00000132541.6	HRSP12
ENSG00000251485.1	AC068134.10
ENSG00000103472.5	RRN3P2
ENSG00000152527.9	PLEKHH2
ENSG00000119723.11	COQ6
ENSG00000197165.6	SULT1A2
ENSG00000171130.13	ATP6V0E2
ENSG00000115091.7	ACTR3
ENSG00000148680.11	HTR7
ENSG00000130638.11	ATXN10
ENSG00000265519.1	CTD-3157E16.1
ENSG00000169519.15	METTL15
ENSG00000120647.5	CCDC77
ENSG00000214796.4	RP11-480I12.5
ENSG00000204842.10	ATXN2
ENSG00000198945.3	L3MBTL3
ENSG00000273097.1	RP11-219C20.3
ENSG00000070476.10	ZXDC
ENSG00000168522.8	FNTA
ENSG00000205269.4	TMEM170B
ENSG00000187051.4	RPS19BP1
ENSG00000086065.9	CHMP5
ENSG00000119509.8	INVS
ENSG00000114790.8	ARHGEF26
ENSG00000127337.2	YEATS4
ENSG00000106479.6	ZNF862
ENSG00000164307.8	ERAP1
ENSG00000198961.5	PJA2
ENSG00000187984.8	ANKRD19P
ENSG00000158717.6	RNF166
ENSG00000126803.8	HSPA2
ENSG00000117595.6	IRF6
ENSG00000173744.13	AGFG1
ENSG00000104731.9	KLHDC4
ENSG00000161010.10	C5orf45
ENSG00000204514.5	ZNF814
ENSG00000162244.6	RPL29
ENSG00000165379.9	LRFN5
ENSG00000188820.8	FAM26F
ENSG00000116138.8	DNAJC16
ENSG00000121851.8	POLR3GL
ENSG00000186281.8	GPAT2
ENSG00000117215.10	PLA2G2D
ENSG00000105501.7	SIGLEC5
ENSG00000219200.6	RNASEK
ENSG00000211584.9	SLC48A1
ENSG00000091164.8	TXNL1
ENSG00000146373.12	RNF217
ENSG00000197083.7	ZNF300P1
ENSG00000149054.10	ZNF215
ENSG00000005189.15	AC004381.6
ENSG00000247121.2	CTD-2260A17.2
ENSG00000214597.4	TMEM249
ENSG00000269051.1	CTD-2245F17.3
ENSG00000272636.1	DOC2B
ENSG00000143437.16	ARNT
ENSG00000272709.1	RP11-458D21.6
ENSG00000266918.1	RP11-798G7.8
ENSG00000115935.12	WIPF1
ENSG00000173511.5	VEGFB
ENSG00000254281.1	KB-1507C5.4
ENSG00000160285.10	LSS
ENSG00000102802.5	MEDAG
ENSG00000130528.7	HRC
ENSG00000248508.2	SRP14-AS1
ENSG00000178773.10	CPNE7
ENSG00000226029.1	RP4-798A10.2
ENSG00000196502.7	SULT1A1
ENSG00000180385.4	AC034193.5
ENSG00000069011.11	PITX1
ENSG00000141577.9	AZI1
ENSG00000213433.5	RP11-54C4.1
ENSG00000115677.12	HDLBP
ENSG00000178952.4	TUFM
ENSG00000259967.1	RP11-2E17.2
ENSG00000166529.10	ZSCAN21
ENSG00000196418.8	ZNF124
ENSG00000111450.9	STX2
ENSG00000124226.7	RNF114
ENSG00000272334.1	RP11-129K12.1
ENSG00000105227.10	PRX
ENSG00000164825.3	DEFB1
ENSG00000189182.5	KRT77
ENSG00000122912.10	SLC25A16
ENSG00000168992.3	OR7E102P
ENSG00000130038.5	EFCAB4B
ENSG00000227107.1	AC096574.5
ENSG00000151715.3	TMEM45B
ENSG00000168000.10	BSCL2
ENSG00000185630.14	PBX1
ENSG00000116785.9	CFHR3
ENSG00000132139.8	GAS2L2
ENSG00000269001.1	ZNF818P
ENSG00000140350.11	ANP32A
ENSG00000197261.7	C6orf141
ENSG00000157107.9	FCHO2
ENSG00000173258.8	ZNF483
ENSG00000091844.3	RGS17
ENSG00000240618.1	RP11-206L10.5
ENSG00000113597.13	TRAPPC13
ENSG00000140471.12	LINS
ENSG00000110700.2	RPS13
ENSG00000270659.1	RP11-105N14.1
ENSG00000127954.8	STEAP4
ENSG00000131848.5	ZSCAN5A
ENSG00000184344.3	GDF3
ENSG00000001167.10	NFYA
ENSG00000258366.3	RTEL1
ENSG00000183281.10	PLGLB1
ENSG00000258602.1	RP11-7F17.7
ENSG00000270673.1	YTHDF3-AS1
ENSG00000213977.3	TAX1BP3
ENSG00000188659.5	FAM154B
ENSG00000213906.5	LTB4R2
ENSG00000123201.10	GUCY1B2
ENSG00000145020.10	AMT
ENSG00000241978.5	AKAP2
ENSG00000136816.11	TOR1B
ENSG00000162885.8	B3GALNT2
ENSG00000100092.16	SH3BP1
ENSG00000138639.13	ARHGAP24
ENSG00000153303.12	FRMD1
ENSG00000013288.4	MAN2B2
ENSG00000237560.1	AC004562.1
ENSG00000141150.3	RASL10B
ENSG00000162231.9	NXF1
ENSG00000128872.5	TMOD2
ENSG00000242689.1	CNTF
ENSG00000143622.6	RIT1
ENSG00000259070.1	LINC00639
ENSG00000111058.3	ACSS3
ENSG00000185019.12	UBOX5
ENSG00000145022.4	TCTA
ENSG00000181007.7	ZFP82
ENSG00000136874.6	STX17
ENSG00000270964.1	RP11-502I4.3
ENSG00000273234.1	OR2A13P
ENSG00000177757.1	FAM87B
ENSG00000255455.2	RP11-890B15.3
ENSG00000125534.5	PPDPF
ENSG00000257219.1	RP11-54A9.1
ENSG00000244921.2	CTB-36O1.7
ENSG00000077942.13	FBLN1
ENSG00000135972.4	MRPS9
ENSG00000100568.6	VTI1B
ENSG00000180481.6	GLIPR1L2
ENSG00000168237.13	GLYCTK
ENSG00000215863.2	RP11-495P10.2
ENSG00000272093.1	CTC-365E16.1
ENSG00000110455.9	ACCS
ENSG00000054983.12	GALC
ENSG00000125629.10	INSIG2
ENSG00000228314.1	CYP4F29P
ENSG00000267106.1	C19orf82
ENSG00000088280.14	ASAP3
ENSG00000091136.9	LAMB1
ENSG00000214776.5	RP11-726G1.1
ENSG00000123352.13	SPATS2
ENSG00000239556.2	AC004951.5
ENSG00000160948.9	VPS28
ENSG00000269923.1	RP11-214K3.24
ENSG00000232053.2	AC009784.3
ENSG00000197444.5	OGDHL
ENSG00000065802.7	ASB1
ENSG00000174606.8	ANGEL2
ENSG00000120262.8	CCDC170
ENSG00000237927.1	RP3-393E18.2
ENSG00000185043.6	CIB1
ENSG00000217783.2	LDHAL6FP
ENSG00000224997.1	AL049840.1
ENSG00000129484.9	PARP2
ENSG00000198682.8	PAPSS2
ENSG00000113318.9	MSH3
ENSG00000177103.9	DSCAML1
ENSG00000108064.6	TFAM
ENSG00000137275.9	RIPK1
ENSG00000139618.10	BRCA2
ENSG00000133103.12	COG6
ENSG00000157191.15	NECAP2
ENSG00000196922.6	ZNF252P
ENSG00000135549.10	PKIB
ENSG00000261115.1	TMEM178B
ENSG00000243795.1	RP11-572M11.3
ENSG00000078269.9	SYNJ2
ENSG00000165102.10	HGSNAT
ENSG00000197312.7	DDI2
ENSG00000155957.12	TMBIM4
ENSG00000166407.9	LMO1
ENSG00000149930.13	TAOK2
ENSG00000151806.9	GUF1
ENSG00000101181.13	MTG2
ENSG00000171051.4	FPR1
ENSG00000224939.1	LINC00184
ENSG00000038219.8	BOD1L1
ENSG00000159231.5	CBR3
ENSG00000049192.10	ADAMTS6
ENSG00000166337.5	TAF10
ENSG00000148498.11	PARD3
ENSG00000234465.6	PINLYP
ENSG00000158473.6	CD1D
ENSG00000258561.1	RP11-72M17.1
ENSG00000133661.11	SFTPD
ENSG00000204130.8	RUFY2
ENSG00000161326.8	DUSP14
ENSG00000005156.7	LIG3
ENSG00000141255.8	SPATA22
ENSG00000139200.9	PIANP
ENSG00000188171.10	ZNF626
ENSG00000233892.1	PAIP1P1
ENSG00000143224.13	PPOX
ENSG00000162076.8	FLYWCH2
ENSG00000268758.1	EMR4P
ENSG00000233297.4	RASA4DP
ENSG00000131238.12	PPT1
ENSG00000159640.10	ACE
ENSG00000169567.7	HINT1
ENSG00000093000.14	NUP50
ENSG00000263683.1	RP4-777O23.1
ENSG00000079257.3	LXN
ENSG00000255621.1	RP11-377D9.3
ENSG00000106327.8	TFR2
ENSG00000164684.9	ZNF704
ENSG00000176731.7	C8orf59
ENSG00000166492.9	FAM86GP
ENSG00000116688.12	MFN2
ENSG00000129467.9	ADCY4
ENSG00000166278.10	C2
ENSG00000266970.1	RP11-806H10.4
ENSG00000181826.5	RELL1
ENSG00000177380.9	PPFIA3
ENSG00000146574.11	CCZ1B
ENSG00000115295.15	CLIP4
ENSG00000022556.11	NLRP2
ENSG00000172175.8	MALT1
ENSG00000124257.6	NEURL2
ENSG00000163029.11	SMC6
ENSG00000120159.7	CAAP1
ENSG00000066455.8	GOLGA5
ENSG00000100197.16	CYP2D6
ENSG00000132563.11	REEP2
ENSG00000237484.5	AP000476.1
ENSG00000162613.12	FUBP1
ENSG00000243566.2	UPK3B
ENSG00000164530.9	PI16
ENSG00000185127.5	C6orf120
ENSG00000139182.9	CLSTN3
ENSG00000150667.6	FSIP1
ENSG00000261069.2	SNORD116-20
ENSG00000271040.1	RP5-933K21.3
ENSG00000230666.1	CEACAM22P
ENSG00000143951.11	WDPCP
ENSG00000186522.10	SEPT10
ENSG00000226002.1	RP11-460N20.5
ENSG00000137819.9	PAQR5
ENSG00000198408.9	MGEA5
ENSG00000214198.3	RP11-642P15.1
ENSG00000258568.1	RHOQP1
ENSG00000099785.6	MARCH2
ENSG00000173960.8	UBXN2A
ENSG00000196712.12	NF1
ENSG00000173915.8	USMG5
ENSG00000225498.1	AC002064.5
ENSG00000213131.3	YWHAZP4
ENSG00000071564.10	TCF3
ENSG00000230305.2	AC004980.9
ENSG00000011638.6	TMEM159
ENSG00000172794.15	RAB37
ENSG00000118965.10	WDR35
ENSG00000163125.11	RPRD2
ENSG00000244607.1	CCDC13
ENSG00000178761.10	FAM219B
ENSG00000128274.11	A4GALT
ENSG00000136891.9	TEX10
ENSG00000250519.2	RP11-680H20.2
ENSG00000154451.10	GBP5
ENSG00000013275.3	PSMC4
ENSG00000232677.2	LINC00665
ENSG00000181031.11	RPH3AL
ENSG00000198721.8	ECI2
ENSG00000235330.2	RP11-165F24.2
ENSG00000170846.11	AC093323.3
ENSG00000187862.7	TTC24
ENSG00000172878.9	METAP1D
ENSG00000197442.8	MAP3K5
ENSG00000233977.1	RP11-310H4.2
ENSG00000243961.2	RP5-839B4.8
ENSG00000234537.1	RP11-100G15.7
ENSG00000267757.1	AC006132.1
ENSG00000186417.9	GLDN
ENSG00000166532.11	RIMKLB
ENSG00000117505.8	DR1
ENSG00000116783.10	TNNI3K
ENSG00000213025.2	COX20P1
ENSG00000127507.13	EMR2
ENSG00000254328.1	CTC-308K20.4
ENSG00000187097.8	ENTPD5
ENSG00000057593.9	F7
ENSG00000101247.13	NDUFAF5
ENSG00000171853.11	TRAPPC12
ENSG00000245651.2	RP11-620J15.2
ENSG00000229212.3	RP11-561C5.4
ENSG00000186150.3	UBL4B
ENSG00000006704.6	GTF2IRD1
ENSG00000197951.4	ZNF71
ENSG00000229186.3	ADAM1A
ENSG00000250412.1	KLHL2P1
ENSG00000071246.6	VASH1
ENSG00000158467.12	AHCYL2
ENSG00000215527.3	AP005482.1
ENSG00000178297.8	TMPRSS9
ENSG00000144120.8	TMEM177
ENSG00000113658.12	SMAD5
ENSG00000066294.10	CD84
ENSG00000134285.6	FKBP11
ENSG00000167747.9	C19orf48
ENSG00000127589.4	TUBBP1
ENSG00000139343.6	SNRPF
ENSG00000015676.13	NUDCD3
ENSG00000105707.9	HPN
ENSG00000100711.9	ZFYVE21
ENSG00000125144.9	MT1G
ENSG00000117280.8	RAB7L1
ENSG00000163607.10	GTPBP8
ENSG00000218739.5	AC007390.5
ENSG00000197417.7	SHPK
ENSG00000198515.9	CNGA1
ENSG00000263280.1	LA16c-325D7.2
ENSG00000175265.13	GOLGA8A
ENSG00000163803.8	PLB1
ENSG00000004142.7	POLDIP2
ENSG00000164603.7	C7orf60
ENSG00000063046.13	EIF4B
ENSG00000254226.1	CTB-12O2.1
ENSG00000102805.9	CLN5
ENSG00000259295.2	CSPG4P12
ENSG00000125898.8	FAM110A
ENSG00000188958.5	UTS2B
ENSG00000188878.12	FBF1
ENSG00000168701.14	TMEM208
ENSG00000120055.5	C10orf95
ENSG00000063241.3	ISOC2
ENSG00000109180.10	OCIAD1
ENSG00000064999.12	ANKS1A
ENSG00000148296.5	SURF6
ENSG00000165695.5	AK8
ENSG00000114209.10	PDCD10
ENSG00000087884.10	AAMDC
ENSG00000147853.12	AK3
ENSG00000213199.3	ASIC3
ENSG00000159873.5	CCDC117
ENSG00000136319.7	TTC5
ENSG00000141076.13	CIRH1A
ENSG00000228146.2	CASP16
ENSG00000236094.1	LINC00545
ENSG00000132763.10	MMACHC
ENSG00000227141.2	RP11-545A16.3
ENSG00000233760.1	AC004947.2
ENSG00000177570.9	SAMD12
ENSG00000188163.6	FAM166A
ENSG00000114742.9	WDR48
ENSG00000254004.2	ZNF260
ENSG00000134215.11	VAV3
ENSG00000104320.9	NBN
ENSG00000238008.1	AC132515.1
ENSG00000169946.9	ZFPM2
ENSG00000263503.1	RP11-707O23.5
ENSG00000197629.5	MPEG1
ENSG00000159228.8	CBR1
ENSG00000171649.7	ZIK1
ENSG00000273366.1	CTA-989H11.1
ENSG00000157617.12	C2CD2
ENSG00000146109.3	ABT1
ENSG00000183831.6	ANKRD45
ENSG00000150938.5	CRIM1
ENSG00000143921.6	ABCG8
ENSG00000142197.8	DOPEY2
ENSG00000001561.6	ENPP4
ENSG00000122378.9	FAM213A
ENSG00000225492.2	GBP1P1
ENSG00000173401.5	GLIPR1L1
ENSG00000196653.7	ZNF502
ENSG00000197054.7	ZNF763
ENSG00000168101.10	NUDT16L1
ENSG00000130649.5	CYP2E1
ENSG00000224930.2	LINC00162
ENSG00000239272.1	RPL21P10
ENSG00000171310.6	CHST11
ENSG00000254636.1	ARMS2
ENSG00000227113.2	RP11-460N20.4
ENSG00000182389.14	CACNB4
ENSG00000099810.14	MTAP
ENSG00000102452.11	NALCN
ENSG00000237643.1	RP11-462G2.1
ENSG00000078070.7	MCCC1
ENSG00000153714.5	LURAP1L
ENSG00000260761.1	RP11-184E9.2
ENSG00000263326.1	RP11-266L9.6
ENSG00000143514.12	TP53BP2
ENSG00000101158.8	NELFCD
ENSG00000203872.6	C6orf163
ENSG00000163406.6	SLC15A2
ENSG00000120075.5	HOXB5
ENSG00000189227.4	C15orf61
ENSG00000236710.1	AC108448.2
ENSG00000124767.6	GLO1
ENSG00000181104.6	F2R
ENSG00000272514.1	C6ORF165
ENSG00000158560.10	DYNC1I1
ENSG00000237082.1	COX5BP6
ENSG00000126870.11	WDR60
ENSG00000230188.1	RP11-405L18.4
ENSG00000101365.16	IDH3B
ENSG00000147804.5	SLC39A4
ENSG00000164244.16	PRRC1
ENSG00000124587.9	PEX6
ENSG00000205632.2	WI2-81516E3.1
ENSG00000125611.11	CHCHD5
ENSG00000144455.9	SUMF1
ENSG00000205045.4	SLFN12L
ENSG00000135686.8	KLHL36
ENSG00000177425.6	PAWR
ENSG00000204677.6	FAM153C
ENSG00000168792.4	ABHD15
ENSG00000047056.10	WDR37
ENSG00000160113.5	NR2F6
ENSG00000187091.9	PLCD1
ENSG00000189350.8	FAM179A
ENSG00000188056.7	TREML4
ENSG00000260423.1	RP13-735L24.1
ENSG00000167383.4	ZNF229
ENSG00000223509.4	RP11-632K20.7
ENSG00000265443.1	CTD-2349P21.6
ENSG00000100034.9	PPM1F
ENSG00000153060.3	TEKT5
ENSG00000157017.11	GHRL
ENSG00000170356.8	OR2A20P
ENSG00000151893.10	CACUL1
ENSG00000233878.1	AC073133.1
ENSG00000172456.12	FGGY
ENSG00000131398.9	KCNC3
ENSG00000109436.7	TBC1D9
ENSG00000227877.2	LINC00948
ENSG00000172183.10	ISG20
ENSG00000231739.2	GAPDHP59
ENSG00000261433.1	CTC-297N7.1
ENSG00000197405.3	C5AR1
ENSG00000230499.1	AC108463.1
ENSG00000226091.3	LINC00937
ENSG00000189046.6	ALKBH2
ENSG00000173950.11	XXYLT1
ENSG00000259820.1	AC083843.1
ENSG00000144339.7	TMEFF2
ENSG00000256612.3	CYP2B7P1
ENSG00000198768.6	APCDD1L
ENSG00000018189.8	RUFY3
ENSG00000213123.6	TCTEX1D2
ENSG00000122692.7	SMU1
ENSG00000140022.5	STON2
ENSG00000244227.1	RP11-298O21.5
ENSG00000106688.7	SLC1A1
ENSG00000233473.2	RP11-520H16.4
ENSG00000143442.17	POGZ
ENSG00000114853.9	ZBTB47
ENSG00000136932.9	C9orf156
ENSG00000171421.8	MRPL36
ENSG00000234147.1	RP3-460G2.2
ENSG00000169641.9	LUZP1
ENSG00000166847.5	DCTN5
ENSG00000115216.9	NRBP1
ENSG00000166263.9	STXBP4
ENSG00000007372.16	PAX6
ENSG00000158411.6	MITD1
ENSG00000205403.8	CFI
ENSG00000185340.11	GAS2L1
ENSG00000183506.12	PI4KAP2
ENSG00000170801.5	HTRA3
ENSG00000128536.11	CDHR3
ENSG00000145214.9	DGKQ
ENSG00000059122.12	FLYWCH1
ENSG00000250829.2	RP11-11N5.1
ENSG00000135968.15	GCC2
ENSG00000236471.1	AF127577.12
ENSG00000165914.10	TTC7B
ENSG00000225231.1	AC091814.2
ENSG00000140694.12	PARN
ENSG00000132199.14	ENOSF1
ENSG00000233266.1	HMGB1P31
ENSG00000169085.7	C8orf46
ENSG00000198336.5	MYL4
ENSG00000185684.8	EP400NL
ENSG00000225210.5	AL589743.1
ENSG00000185345.14	PARK2
ENSG00000108813.9	DLX4
ENSG00000104728.11	ARHGEF10
ENSG00000266935.1	CTD-3234P18.2
ENSG00000196312.7	HIATL2
ENSG00000133872.9	TMEM66
ENSG00000160221.12	C21orf33
ENSG00000119977.16	TCTN3
ENSG00000180616.4	SSTR2
ENSG00000253873.1	PCDHGA11
ENSG00000266907.1	AC006116.22
ENSG00000099246.12	RAB18
ENSG00000120907.13	ADRA1A
ENSG00000166348.13	USP54
ENSG00000179583.13	CIITA
ENSG00000140474.8	ULK3
ENSG00000170629.10	DPY19L2P2
ENSG00000242498.3	C15orf38
ENSG00000258572.1	RP11-1070N10.3
ENSG00000196867.3	ZFP28
ENSG00000143801.12	PSEN2
ENSG00000137486.12	ARRB1
ENSG00000214078.7	CPNE1
ENSG00000172771.7	EFCAB12
ENSG00000255362.1	RP11-619A14.3
ENSG00000260910.1	LINC00565
ENSG00000169826.6	CSGALNACT2
ENSG00000138821.8	SLC39A8
ENSG00000130312.2	MRPL34
ENSG00000177432.6	NAP1L5
ENSG00000272130.1	RP11-360I2.1
ENSG00000144182.12	LIPT1
ENSG00000153233.8	PTPRR
ENSG00000145029.7	NICN1
ENSG00000134874.13	DZIP1
ENSG00000116221.11	MRPL37
ENSG00000103496.10	STX4
ENSG00000135828.7	RNASEL
ENSG00000266992.1	DHX40P1
ENSG00000040933.11	INPP4A
ENSG00000165202.2	OR1Q1
ENSG00000259658.3	RP11-89K11.1
ENSG00000161265.10	U2AF1L4
ENSG00000132507.13	EIF5A
ENSG00000091106.14	NLRC4
ENSG00000243678.7	NME1-NME2
ENSG00000184385.2	C21orf128
ENSG00000254272.1	RP11-382J24.2
ENSG00000135018.9	UBQLN1
ENSG00000166971.12	AKTIP
ENSG00000170390.10	DCLK2
ENSG00000196533.6	C1orf186
ENSG00000226816.2	AC005082.12
ENSG00000169689.10	STRA13
ENSG00000272542.1	RP11-255P5.2
ENSG00000069188.12	SDK2
ENSG00000177646.13	ACAD9
ENSG00000224557.3	HLA-DPB2
ENSG00000137709.5	POU2F3
ENSG00000171723.11	GPHN
ENSG00000259129.1	LINC00648
ENSG00000188677.10	PARVB
ENSG00000173221.9	GLRX
ENSG00000154928.12	EPHB1
ENSG00000205853.6	RFPL3S
ENSG00000253813.1	COX6B1P4
ENSG00000170634.8	ACYP2
ENSG00000101457.8	DNTTIP1
ENSG00000196966.3	HIST1H3E
ENSG00000171714.10	ANO5
ENSG00000111269.2	CREBL2
ENSG00000134539.12	KLRD1
ENSG00000141720.7	PIP4K2B
ENSG00000127481.10	UBR4
ENSG00000149260.10	CAPN5
ENSG00000170266.11	GLB1
ENSG00000272282.1	RP11-222K16.2
ENSG00000102910.9	LONP2
ENSG00000259530.1	RP11-259A24.1
ENSG00000101442.8	ACTR5
ENSG00000225849.1	MKRN7P
ENSG00000171722.7	C1orf111
ENSG00000234177.1	AC068057.2
ENSG00000263207.2	RP11-26L20.4
ENSG00000230611.1	HMGB1P27
ENSG00000140873.11	ADAMTS18
ENSG00000127946.12	HIP1
ENSG00000105258.4	POLR2I
ENSG00000150977.9	RILPL2
ENSG00000181666.13	HKR1
ENSG00000253731.1	PCDHGA6
ENSG00000101443.13	WFDC2
ENSG00000271524.1	CTC-260E6.10
ENSG00000144134.14	RABL2A
ENSG00000103227.14	LMF1
ENSG00000241612.1	RP13-585F24.1
ENSG00000226792.2	LINC00371
ENSG00000269558.1	AC104057.1
ENSG00000118689.10	FOXO3
ENSG00000115648.9	MLPH
ENSG00000243789.6	JMJD7
ENSG00000273270.1	RP11-212P7.2
ENSG00000006740.12	ARHGAP44
ENSG00000139133.2	ALG10
ENSG00000180953.7	ST20
ENSG00000180353.6	HCLS1
ENSG00000129197.10	RPAIN
ENSG00000075618.13	FSCN1
ENSG00000135525.14	MAP7
ENSG00000242551.2	POU5F1P6
ENSG00000166780.6	C16orf45
ENSG00000165714.6	LOH12CR1
ENSG00000250673.1	RP11-6L6.2
ENSG00000125733.13	TRIP10
ENSG00000142408.2	CACNG8
